id,address,city,state,price,bedrooms,bathrooms,area_sqft,listing_date,agent_name,email
1,43321 Brittany Bypass,Los Angeles,NY,827572,2,2,2753,2025-03-11,Daniel Wagner,jennifermiles@robinson-lawrence.com
2,654 Jason Track,Los Angeles,CA,826646,1,4,4967,2025-05-19,Brandon Davis,invalid-email
3,407 Teresa Lane Apt. 849,Los Angeles,CA,293962,5,1,4639,2024-03-02,Heidi Lee,stanleykendra@wyatt.biz
4,525 Clark Grove Apt. 928,Houston ,TX,281148,5,3,4179,2023-09-20,Carla Gray,megan03@trujillo.com
5,537 Wilkerson Row,New York,CA,782052,3,3,3962,2024-01-17,Derek Wright,zhurst@yahoo.com
6,710 Eric Estate,San Francisco,NY,147251,1,3,3612,2025-01-09,Jennifer Brown,jrice@gmail.com
7,845 Kelly Estate,los angeles,IL,896335,4,1,855,2024-03-18,Troy Liu,williamrodriguez@hotmail.com
8,52880 Burns Creek,San Fransico,NY,628856,5,3,2901,2023-10-05,Sherry Decker,brianhumphrey@gmail.com
9,82278 Joseph Well Suite 383,Los Angeles,NY,743384,3,1,2366,2024-02-08,Jennifer Powers,clam@gmail.com
10,50983 Adrian Station,Los Angeles,TX,341476,3,2,4214,2024-01-13,Crystal Whitehead,palmerjoshua@yahoo.com
11,997 Kristen Valley,Houston,CA,329946,5,2,1084,2025-01-04,Brandon Hopkins,ujenkins@gmail.com
12,65133 Amanda Dam,Houston,CA,534714,3,2,3608,2023-10-11,Donald Wright,jmorton@williams.com
13,67736 Franklin Alley,New York,CA,911722,3,4,762,2023-09-14,Mrs. Rachel Gibson,smoore@gmail.com
14,500 Shaw Walk,Houston,AZ,968938,2,4,3077,2024-10-22,Amy Romero,larsonemma@powell.com
15,169 Donovan Ford,chicago,CA,327746,2,3,1643,2023-09-25,Emily Baker,stephen10@howell-hart.com
16,425 Natasha Land,San Fransico,AZ,468801,2,2,3465,2023-10-19,Jeffrey Daniels,contrerasangela@hotmail.com
17,1182 Campbell Fords,Los Angeles,NY,952931,2,2,1398,2024-12-04,Christina Walters,dking@gmail.com
18,0052 Martin Mills Suite 801,San Fransico,AZ,116613,4,4,3652,2025-06-28,Stephen Mckee,brandi26@williams.com
19,31586 Sara Freeway Apt. 260,Houston ,NY,763328,5,3,1438,2024-05-23,Tim Patton,josephcobb@gmail.com
20,3375 Hoover Well,San Francisco,NY,357757,2,4,4061,2024-04-10,Alexander Lee,invalid-email
21,45868 Crosby Crescent Suite 294,Phoenix,AZ,848975,5,1,1963,2024-05-25,Kyle Reed,gobrien@gmail.com
22,0608 Michael Cliff,Phoenix,CA,582323,2,3,2129,2024-06-21,Tammie Hanson,william65@terry-spencer.com
23,299 Sullivan Village Apt. 443,Houston ,AZ,50599,4,1,3155,2024-08-01,Kevin Pena,nramos@hotmail.com
24,148 Davis Terrace,San Francisco,IL,301083,2,1,974,2023-12-29,Eric Drake,williamstracey@atkinson.org
25,6320 Kimberly Forges Apt. 870,chicago,NY,847549,2,2,4863,2024-06-26,Sylvia Martinez,jcontreras@stewart.net
26,77434 Sims Harbor Suite 143,Houston ,CA,327932,5,4,4822,2024-06-17,Francisco Fernandez,jessebenson@lewis.info
27,66909 Woods Knoll,Houston ,CA,773378,3,4,2147,2023-08-22,James Snow,tracynelson@yahoo.com
28,6272 Rebecca Ramp Apt. 162,San Francisco,TX,993313,4,1,4739,2024-03-03,Catherine Green,shawnrogers@yahoo.com
29,1708 Zoe Keys Apt. 100,Los Angeles,IL,72056,5,2,2385,2023-11-26,Christina Smith,invalid-email
30,71937 Wang Expressway,New York,CA,120674,3,1,757,2023-09-28,Tracey Higgins,daniel04@byrd.com
31,49190 Patel Shore,Phoenix,CA,558993,5,2,2255,2025-06-22,Jonathan Peterson,xgarcia@hotmail.com
32,262 Gilbert Plain Suite 769,los angeles,AZ,545631,4,4,2490,2023-12-19,Samuel Rivas,nicole37@bishop.com
33,54549 Peters Path Apt. 136,Los Angeles,CA,501989,4,4,3402,2024-01-19,Peter Vaughn DDS,fmcguire@yahoo.com
34,349 Kennedy Pines Suite 685,New York,CA,735197,1,4,1306,2025-02-23,Jesse Parker,griffithleslie@herrera.com
35,9894 Marissa Hill Apt. 524,Los Angeles,CA,250896,5,4,2058,2024-07-29,Joseph Hill,heidi27@salas.com
36,5204 Wilson Circles Suite 719,Chicago,IL,535100,1,4,2546,2024-11-12,Amy Hernandez,mcknightdavid@yahoo.com
37,677 Dalton Meadow,Houston ,NY,103045,1,1,4928,2023-09-27,Marc Lynch,colleenbaker@moore.net
38,67974 Jesse Squares,Houston,CA,476156,4,2,4478,2025-07-05,Scott Jones,kristin93@wilson-walker.com
